"","Longitude","Latitude"
"1",-63.58,-11.51
"2",-43.02,-21.18
"3",-63.83193,-8.76
"4",-63.8683,-8.73
"5",-63.03969,-9.9
"6",-62.25291,-10.72
"7",-49.1070936,-26.48
"8",-49.0842138,-26.48
"9",-48.9364472,-26.59
"10",-49.1073653,-26.45
"11",-49.2351794,-26.42
"12",-49.1306163,-26.51
"13",-49.2482306,-26.42
"14",-49.1057718,-26.35
"15",-48.9736819,-26.45
"16",-49.0193533,-26.47
"17",-49.2398122,-26.43
"18",-49.080572,-26.49
"19",-49.078569,-26.41
"20",-49.1176653,-26.48
"21",-49.091329,-26.47
"22",-49.0084004,-26.38
"23",-49.2799523,-26.43
"24",-49.1286395,-26.47
"25",-51.3214916,-24
"26",-49.2228384,-26.52
"27",-49.1261535,-26.37
"28",-48.9850959,-26.61
"29",-49.0560091,-26.49
"30",-49.0032759,-26.49
"31",-49.2790244,-26.43
"32",-49.2268379,-26.43
"33",-48.9952352,-26.52
"34",-49.1582075,-26.5
"35",-49.1464636,-26.5
"36",-49.0972154,-26.5
"37",-49.2326271,-26.54
"38",-49.1661818,-26.45
"39",-49.2277558,-26.44
"40",-49.2092609,-26.45
"41",-49.1689402,-26.49
"42",-49.0545519,-26.59
"43",-49.0347344,-26.57
"44",-49.1339318,-26.54
"45",-49.1585767,-26.55
"46",-49.050028,-26.42
"47",-49.0802787,-26.52
"48",-49.2752283,-26.43
"49",-49.3459444,-26.46
"50",-49.1132786,-26.51
"51",-49.0869427,-26.48
"52",-49.1170556,-26.49
"53",-49.147674,-26.46
"54",-49.1182545,-26.43
"55",-49.0394502,-26.47
"56",-49.1066572,-26.41
"57",-49.0564073,-26.48
"58",-49.1011247,-26.49
"59",-49.1357676,-26.46
"60",-38.8789563,-4.33
"61",-38.9040102,-4.35
"62",-43.2411073,-22.93
"63",-38.9330716,-4.26
"64",-38.955322,-4.3
"65",-38.9208831,-4.23
"66",-37.0151989,-6.87
"67",-50.0308,-8.03
"68",-38.6219897,-5.89
"69",-41.1344532,-3.02
"70",-62.931894,-0.62
"71",-59.947178,-3.01
"72",-60.316617,-1.8
"73",-67.593333,-1.06
"74",-65.016833,-0.41
"75",-69.936939,-4.23
"76",-60.021731,-3.12
"77",-52.601944,-0.89
"78",-51.066389,0.04
"79",-43.4356922,-22.6035222
"80",-42.75103361,-18.34546196
"81",-54.5758415,-25.4800722
"82",-35.52471612,-7.117925496
"83",-60.738958,-2.966508
"84",-49.28399641,-25.56180921
"85",-47.8675212,-15.764948
"86",-43.7772,-22.86653
"87",-42.53369,-22.28713
"88",-43.43278,-22.93444
"89",-43.4163,-22.94962
"90",-42.8969,-20.41174
"91",-52.4,-27.05
"92",-51.359,-20.843
"93",-44.52,-3.27
"94",-44.11,-6.31
"95",-43.13,-2.48
"96",-43.07,-2.49
"97",-43.14,-2.49
"98",-43.14,-2.48
"99",-69.94014,-4.206472
"100",-69.94125,-4.206694
"101",-69.92592,-4.20025
"102",-69.9305,-4.193806
"103",-69.94083,-4.201417
"104",-69.94136,-4.201028
"105",-69.93728,-4.20375
"106",-35.824,-9.563
"107",-35.82,-9.56
"108",-51.4546,-1.73717
"109",-52.42,-27.1611
"110",-62.9319,-0.6161
"111",-63.1585,-4.18025
"112",-60.63245,-3.396308
"113",-59.98725,-3.094333
"114",-60.9467,-2.71175
"115",-60.951583,-5.43425
"116",-56.729583,-2.63722
"117",-60.3166,-1.80046
"118",-59.70028,-2.6981
"119",-65.016833,-0.413816
"120",-69.0964,-3.044278
"121",-67.593333,1.06225
"122",-69.9364,-4.2316
"123",-64.714722,-3.351389
"124",-69.6592,-4.4143
"125",-66.31308,-2.8005
"126",-51.4546,-1.73717
"127",-48.290859,-18.98016
"128",-41.448056,-21.797222
"129",-48.0043119,-24.9626782
"130",-48.1107021,-21.8679692
"131",-48.4554156,-24.2732751
"132",-47.6529021,-22.2390714
"133",-48.0935151,-24.8621777
"134",-47.9629063,-22.2748718
"135",-46.8626021,-23.3451767
"136",-47.8415016,-21.9621701
"137",-45.4892878,-22.6979782
"138",-49.6865158,-22.3868667
"139",-52.3010307,-22.6048614
"140",-48.1110123,-24.8665776
"141",-47.7804014,-22.0379705
"142",-46.8506999,-23.3246767
"143",-47.4606954,-20.2298665
"144",-48.9985195,-24.9526754
"145",-48.2251059,-21.907369
"146",-46.8907013,-23.3540767
"147",-45.4656906,-22.6929772
"148",-52.2468313,-22.5990606
"149",-48.2457141,-24.8354762
"150",-48.0485028,-21.9110705
"151",-45.4889908,-22.6993782
"152",-48.0485023,-21.7210689
"153",-48.4179124,-24.2971743
"154",-48.2493151,-24.8376772
"155",-46.7742987,-23.4187782
"156",-46.9697664,-2.245104
"157",-48.0423142,-24.9971782
"158",-47.6146038,-22.5646715
"159",-46.9486993,-23.2457762
"160",-45.4842867,-22.6985772
"161",-47.6710034,-22.3037726
"162",-47.7532032,-22.3910716
"163",-48.1365052,-21.8493691
"164",-48.0923131,-24.8582767
"165",-48.0704135,-25.0035771
"166",-46.9389993,-23.2487772
"167",-47.8498026,-21.9590691
"168",-69.9305,-4.193806
"169",-69.925917,-4.20025
"170",-69.941361,-4.201028
"171",-69.940833,-4.201417
"172",-69.94125,-4.206694
"173",-69.940139,-4.206472
"174",-69.937278,-4.20375
"175",-69.924833,-4.100167
"176",-73.784996,-7.451944
"177",-72.85777,-8.405277
"178",-44.11,-6.31
"179",-35.824,-9.563
"180",-52.422697,-27.165107
"181",-52.423323,-27.16512
"182",-52.423966,-27.16438
"183",-52.422918,-27.164113
"184",-52.423777,-27.16497
"185",-52.42349,-27.16489
"186",-52.423494,-27.164897
"187",-52.42,-27.1611
"188",-48.6836,-25.2886
"189",-48.6697,-25.3133
"190",-35.82,-9.56
"191",-43.35388,-19.83361
"192",-43.48583,-20.1
"193",-42.36444,-19.32
"194",-42.59136,-19.78213
"195",-42.60705,-19.82827
"196",-42.61838,-19.75722
"197",-42.5793,-19.78547
"198",-42.84722,-19.61583
"199",-42.57463,-19.82308
"200",-42.62877,-19.80308
"201",-42.64916,-19.8105
"202",-42.53361,-19.47055
"203",-43.02111,-19.74305
"204",-42.51888,-19.49027
"205",-42.59527,-19.81861
"206",-43.13,-2.48
"207",-44.52,-3.27
"208",-60.31764,-1.817305
"209",-60.115276,-2.589167
"210",-45.5209,-22.7666
"211",-56.953,-19.619
"212",-56.941,-19.616
"213",-56.329,-19.603
"214",-56.046,-19.612
"215",-56.962,-19.338
"216",-57.042,-19.445
"217",-56.924,-19.612
"218",-57.061,-19.429
"219",-57.027,-19.456
"220",-56.415,-19.611
"221",-56.341,-19.602
"222",-56.341,-19.598
"223",-56.234,-19.567
"224",-56.224,-19.555
"225",-57.057,-19.286
"226",-46.2303,-22.8012
"227",-43.07,-2.49
"228",-60.00778,-3.245556
"229",-60.036594,-2.60528
"230",-60.051945,-2.589167
"231",-60.03,-2.591111
"232",-42.034443,-22.426388
"233",-60.03639,-2.605278
"234",-60.00778,-3.078889
"235",-46.47111,-1.432222
"236",-46.955833,-1.029167
"237",-47.05472,-1.744722
"238",-43.14,-2.48
"239",-72.857778,-8.405278
"240",-73.785,-7.451944
"241",-43.14,-2.49
"242",-50.200278,-6.074167
"243",-50.133611,-6.102778
"244",-50.186111,-6.098889
"245",-50.110278,-6.010556
"246",-50.149444,-6.094167
"247",-50.133611,-6.102222
"248",-50.148611,-6.095
"249",-50.1325,-6.087778
"250",-50.079444,-6.433889
"251",-56.535833,-5.937222
"252",-50.042222,-6.465
"253",-56.543611,-5.945833
"254",-56.546944,-5.925833
"255",-49.647814,-3.031311
"256",-49.661075,-3.649508
"257",-49.681561,-2.775358
"258",-49.314589,-5.173983
"259",-49.669436,-2.900333
"260",-49.606861,-3.422511
"261",-49.658372,-3.106706
"262",-49.650494,-3.260328
"263",-49.299075,-5.200178
"264",-49.278889,-7.914722
"265",-51.358997,-20.843
"266",-60.03443,-3.097472
"267",-59.989254,-3.094561
"268",-52.4,-27.05
"269",-42.8969,-20.41174
"270",-47.13539,-23.53077
"271",-39.364442,-14.685714
"272",-39.3644,-14.6851
"273",-65.260147,-0.392094
"274",-65.466669,-3.509544
"275",-39.21667,-14.75
"276",-66.031653,-7.811556
"277",-42.53369,-22.28713
"278",-65.2595,-0.3884
"279",-43.416303,-22.949616
"280",-43.432778,-22.934444
"281",-62.907715,-0.774513
"282",-43.7772,-22.86653
"283",-65.20454,-10.98838
"284",-60.501709,-2.838804
"285",-63.4833,0.51666
"286",-39.364443,-14.685159
